,day,is_member,start_station_code,index,Code,name,latitude_x,longitude_x,year_x,trip_c,emplacement_pk_start,pk,FID,latitude_y,longitude_y,year_y,X_x,Y_x,cluster,X_y,Y_y,X_mean,Y_mean
852,201,,,1087,,27e avenue / Rosemont,45.5636787,-73.5716045,2022,5699,5699.0,1087.0,1286,45.5636787,-73.5716045,2022,299210,5047090,67,299224.5,5047125.0,299224.5,5047125.0
853,199,4686.0,5592.0,6732,6732.0,Fortune / Wellington,45.477923,-73.559038,2019,5592,,,419,45.477923,-73.559038,2019,300184,5037560,505,300184.0,5037560.0,300184.0,5037560.0
854,202,,,452,,Fortune / Wellington,45.477923,-73.559038,2022,8706,8706.0,452.0,911,45.477923,-73.559038,2022,300184,5037560,505,300184.0,5037560.0,300184.0,5037560.0
855,199,4670.0,5448.0,6733,6733.0,Villeray / de Normanville,45.547172039327485,-73.6185210943222,2019,5448,,,420,45.54717204,-73.61852109,2019,295545,5045260,225,295564.0,5045260.0,295564.0,5045260.0
856,202,,,664,,de Normanville / Villeray,45.54717,-73.618041,2022,8773,8773.0,664.0,1081,45.54717,-73.618041,2022,295583,5045260,225,295564.0,5045260.0,295564.0,5045260.0
857,197,7101.0,7979.0,6734,6734.0,Lajeunesse / Villeray,45.54211889,-73.6225471,2019,7979,,,421,45.54211889,-73.6225471,2019,295230,5044700,260,295230.0,5044700.0,295230.0,5044700.0
858,202,,,665,,Lajeunesse / Villeray,45.542119,-73.622547,2022,12976,12976.0,665.0,1082,45.542119,-73.622547,2022,295230,5044700,260,295230.0,5044700.0,295230.0,5044700.0
859,178,1342.0,1665.0,6735,6735.0,Villeray / St-Michel,45.56105928295798,-73.6039674282074,2019,1665,,,422,45.56105928,-73.60396743,2019,296684,5046800,173,296684.0,5046800.0,296684.0,5046800.0
860,105,,,666,,Villeray / St-Michel,45.561059,-73.603967,2022,1945,1945.0,666.0,1083,45.561059,-73.603967,2022,296684,5046800,173,296684.0,5046800.0,296684.0,5046800.0
861,193,2243.0,2854.0,6736,6736.0,Métro Henri-Bourassa (Henri-Bourassa / Millen),45.55675103297278,-73.66716161370277,2019,2854,,,423,45.55675103,-73.66716161,2019,291749,5046330,353,291749.0,5046330.0,291749.0,5046330.0
862,200,,,229,,Métro Henri-Bourassa (Henri-Bourassa / Millen),45.556751,-73.667162,2022,6481,6481.0,229.0,719,45.556751,-73.667162,2022,291749,5046330,353,291749.0,5046330.0,291749.0,5046330.0
863,199,2866.0,3483.0,6737,6737.0,Jacques-Casault / Christophe-Colomb,45.552123,-73.630103,2019,3483,,,424,45.552123,-73.630103,2019,294642,5045810,541,294642.0,5045810.0,294642.0,5045810.0
864,201,,,226,,Jacques-Casault / Christophe-Colomb,45.552123,-73.630103,2022,6428,6428.0,226.0,717,45.552123,-73.630103,2022,294642,5045810,541,294642.0,5045810.0,294642.0,5045810.0
865,195,10585.0,11940.0,6738,6738.0,Union / René-Lévesque,45.50235036136798,-73.56658279895781,2019,11940,,,425,45.50235036,-73.5665828,2019,299597,5040270,327,299597.0,5040270.0,299597.0,5040270.0
866,202,,,396,,Union / René-Lévesque,45.50235,-73.566583,2022,9457,9457.0,396.0,863,45.50235,-73.566583,2022,299597,5040270,327,299597.0,5040270.0,299597.0,5040270.0
867,197,1156.0,1295.0,6739,6739.0,Pierre-de-Coubertin / Langelier,45.580314546424674,-73.5353136062622,2019,1295,,,426,45.58031455,-73.53531361,2019,302044,5048930,206,302044.0,5048935.0,302044.0,5048935.0
868,201,,,165,,Pierre-de-Coubertin / Langelier,45.580315,-73.535314,2022,2565,2565.0,165.0,665,45.580315,-73.535314,2022,302044,5048940,206,302044.0,5048935.0,302044.0,5048935.0
869,198,2323.0,2927.0,6741,6741.0,Canning / Notre-Dame,45.48631864401023,-73.5702332854271,2019,2927,,,427,45.48631864,-73.57023329,2019,299310,5038490,665,299310.0,5038490.0,299310.0,5038490.0
870,202,,,356,,Canning / Notre-Dame,45.486319,-73.570233,2022,6590,6590.0,356.0,828,45.486319,-73.570233,2022,299310,5038490,665,299310.0,5038490.0,299310.0,5038490.0
871,197,6735.0,9146.0,6742,6742.0,St-Patrick / Briand,45.46339729163665,-73.59643578529356,2019,9146,,,428,45.46339729,-73.59643579,2019,297259,5035950,236,297259.0,5035950.0,297259.0,5035950.0
872,194,,,202,,St-Patrick / Briand,45.463397,-73.596436,2022,8064,8064.0,202.0,698,45.463397,-73.596436,2022,297259,5035950,236,297259.0,5035950.0,297259.0,5035950.0
873,176,3802.0,4510.0,6743,6743.0,St-Marc / Sherbrooke,45.494514,-73.583368,2019,4510,,,429,45.494514,-73.583368,2019,298284,5039400,360,298284.0,5039400.0,298284.0,5039400.0
874,202,,,366,,St-Marc / Sherbrooke,45.494514,-73.583368,2022,6666,6666.0,366.0,838,45.494514,-73.583368,2022,298284,5039400,360,298284.0,5039400.0,298284.0,5039400.0
875,197,3277.0,3889.0,6744,6744.0,Hamilton / Jolicoeur,45.456355,-73.597557,2019,3889,,,430,45.456355,-73.597557,2019,297170,5035160,395,297170.0,5035160.0,297170.0,5035160.0
876,202,,,193,,Hamilton / Jolicoeur,45.456355,-73.597557,2022,5789,5789.0,193.0,690,45.456355,-73.597557,2022,297170,5035160,395,297170.0,5035160.0,297170.0,5035160.0
