,day,is_member,start_station_code,index,Code,name,latitude,longitude,trip_per_day_2019
192,198,3620,4187,6198,6198.0,Hélène-Baillargeon / St-Denis,45.52974,-73.59527,21.146464646464647
193,199,14512,17602,6199,6199.0,St-Viateur / St-Laurent,45.52593073022709,-73.59883904457092,88.45226130653266
194,199,13819,17372,6200,6200.0,Maguire / St-Laurent,45.52462848559264,-73.5958108305931,87.2964824120603
195,199,11770,13587,6201,6201.0,Villeneuve / de l'Hôtel-de-Ville,45.52354419830203,-73.58733236789703,68.27638190954774
196,199,16848,19551,6202,6202.0,Ste-Famille / Sherbrooke,45.51007154847701,-73.57075229287146,98.2462311557789
197,198,10808,13509,6203,6203.0,Aylmer / Sherbrooke,45.50658668914343,-73.57329905033112,68.22727272727273
198,199,14151,17356,6204,6204.0,Milton / Durocher,45.508140959417744,-73.57492983341217,87.21608040201005
199,199,13868,16821,6205,6205.0,Milton / du Parc,45.50936142835129,-73.57386365532875,84.52763819095478
200,199,20142,24015,6206,6206.0,Prince-Arthur / du Parc,45.51059,-73.57547,120.678391959799
201,199,6557,7870,6207,6207.0,Ste-Famille / des Pins,45.51283174510449,-73.57688784599304,39.54773869346734
202,199,9893,12023,6208,6208.0,Hutchison / des Pins,45.51069,-73.57805,60.41708542713568
203,199,17672,21523,6209,6209.0,Milton / Clark,45.51254135285248,-73.57067719101906,108.15577889447236
204,199,6102,6998,6210,6210.0,Métro Sauvé (Berri / Sauvé),45.55069206841976,-73.65636706352234,35.165829145728644
205,199,22276,28197,6211,6211.0,Roy / St-Laurent,45.515616239398405,-73.57580825686453,141.69346733668343
206,195,12340,15742,6212,6212.0,Duluth / de l'Esplanade,45.51509198406273,-73.58114182949066,80.72820512820513
207,199,17471,21394,6213,6213.0,Duluth / St-Laurent,45.51687640567004,-73.57946008443832,107.50753768844221
208,176,12585,15331,6214,6214.0,Square St-Louis (du Square St-Louis / Laval),45.516090801970655,-73.5701286792755,87.10795454545455
209,160,7059,8755,6215,6215.0,Metcalfe / St-Catherine,45.50083231626815,-73.57245951890945,54.71875
210,196,18249,27393,6216,6216.0,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.51483985896893,-73.58477890491486,139.76020408163265
211,199,14504,17843,6217,6217.0,Vallières / St-Laurent,45.51896722332005,-73.5836161673069,89.66331658291458
