,day,emplacement_pk_start,index,pk,name,latitude,longitude,trip_per_day_2022
172,202,30553,313,313.0,Milton / du Parc,45.509361,-73.573864,151.25247524752476
173,189,20281,314,314.0,Hutchison / Prince-Arthur,45.509759,-73.576107,107.3068783068783
174,202,29089,315,315.0,Ste-Famille / Sherbrooke,45.510072,-73.570752,144.0049504950495
175,202,43514,316,316.0,Prince-Arthur / du Parc,45.51059,-73.57547,215.41584158415841
176,202,25268,317,317.0,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497,125.08910891089108
177,202,22524,318,318.0,Hutchison / des Pins,45.51069,-73.57805,111.5049504950495
178,202,13730,321,321.0,de l'Hôtel-de-Ville / Ste-Catherine,45.51166,-73.562136,67.97029702970298
179,202,35582,322,322.0,Milton / Clark,45.512541,-73.570677,176.14851485148515
180,197,16408,323,323.0,Prince-Arthur / St-Urbain,45.512587,-73.573739,83.28934010152284
181,153,9692,324,324.0,Sanguinet / Ste-Catherine,45.512797,-73.561463,63.34640522875817
182,202,7755,325,325.0,Ste-Famille / des Pins,45.512832,-73.576888,38.39108910891089
183,202,38931,326,326.0,Clark / Prince-Arthur,45.513303,-73.572961,192.72772277227722
184,202,14505,327,327.0,Sanguinet / de Maisonneuve,45.513405,-73.562594,71.8069306930693
185,202,22980,328,328.0,Guilbault / Clark,45.514108,-73.57523,113.76237623762377
186,197,16867,329,329.0,Metcalfe / St-Catherine,45.500832,-73.572459,85.61928934010152
187,155,34516,330,330.0,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.51484,-73.584779,222.68387096774194
188,202,25480,331,331.0,Duluth / de l'Esplanade,45.515092,-73.581142,126.13861386138613
189,125,20124,332,332.0,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,160.992
190,202,14870,333,333.0,Parc de Bullion (de Bullion / Prince-Arthur),45.515604,-73.572135,73.61386138613861
191,202,34615,334,334.0,Roy / St-Laurent,45.515616,-73.575808,171.36138613861385
192,202,37532,336,336.0,Duluth / St-Laurent,45.516876,-73.57946,185.8019801980198
193,202,12656,337,337.0,de l'Hôtel-de-Ville / Roy,45.517401,-73.574605,62.65346534653465
194,202,34072,338,338.0,Clark / Rachel,45.517354,-73.582129,168.67326732673268
195,202,36822,339,339.0,St-Dominique / Rachel,45.518593,-73.581566,182.2871287128713
196,202,23784,340,340.0,Vallières / St-Laurent,45.518967,-73.583616,117.74257425742574
197,202,8711,341,341.0,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.457509,-73.639485,43.12376237623762
198,202,4988,342,342.0,Park Row O / Sherbrooke,45.460729,-73.634073,24.693069306930692
199,202,7861,343,343.0,Benny / Sherbrooke,45.464877,-73.626597,38.915841584158414
200,202,6772,344,344.0,Grand Boulevard / Sherbrooke,45.466569,-73.623295,33.524752475247524
201,202,6210,346,346.0,de la Côte St-Antoine / Royal,45.468927,-73.61987,30.742574257425744
202,202,5993,347,347.0,de Melrose / Sherbrooke,45.46982,-73.616961,29.668316831683168
